No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Config,Keep Vite config beside the app,Vite expects vite.config at the frontend package root.,Single config colocated with package.json,Multiple conflicting Vite configs per app,frontend/vite.config.ts at app root,Wrong cwd in CLI,High,https://vite.dev/config/
2,Config,Use the official React plugin,Use @vitejs/plugin-react for Fast Refresh.,Add react() to plugins in vite.config.ts,Legacy JSX setup without reason,plugins: [react()],Manual Babel for standard React 19 SPA,Medium,https://github.com/vitejs/vite-plugin-react
3,Env,Read env via import.meta.env,Client env vars must use VITE_ prefix in dotenv files.,Define VITE_API_BASE and read import.meta.env.VITE_API_BASE,Use process.env in browser bundle code,import.meta.env.VITE_API_BASE,process.env.API in client code,High,https://vite.dev/guide/env-and-mode.html
4,Env,Type env in env.d.ts,Extend ImportMetaEnv for keys you expose.,Declare readonly VITE_* keys,Untyped env access,ImportMetaEnv + vite/client,env as any,Medium,
5,Assets,Import assets from src when possible,Vite hashes and optimizes imported files.,import img from './x.png',Hardcode raw /src paths in img src,import hero from '@/assets/hero.webp',src="/src/assets/foo.png" in HTML,Medium,https://vite.dev/guide/assets.html
6,Assets,Use public for fixed URLs only,Use public for robots.txt and similar root files.,robots.txt in public when URL must be stable,Put all images only in public,public/robots.txt,Large images only in public skipping pipeline,Low,
7,Build,Set base for subpath deploys,Set base in vite.config when app is not at domain root.,base path matches hosting path,Assume root always,base: '/app/',Wrong base breaking assets,Medium,https://vite.dev/config/shared-options.html#base
8,Routing,Let the SPA router own paths,React Router handles routes; Vite is the dev server and bundler.,SPA fallback to index.html in dev,Mix Next-style file routes into Vite alone,BrowserRouter + routes,Expecting Vite to define HTTP routes,High,
9,CodeSplitting,Lazy-load heavy screens,Use React.lazy and Suspense for route chunks.,lazy import for big pages,Import every page in main entry,const P = lazy(() => import('./Page')),Static import all dashboards,Medium,https://vite.dev/guide/features.html#dynamic-import
10,DevServer,Proxy API in development,Forward /api to backend with server.proxy.,proxy block in vite.config,Hardcode backend origin in every fetch in dev,proxy /api to 127.0.0.1:8000,fetch full URL per call in dev,Medium,https://vite.dev/config/server-options.html#server-proxy
11,CSS,Pipe Tailwind via PostCSS,Standard stack is Vite plus postcss plus tailwindcss.,tailwind in postcss.config,Separate Tailwind CLI fighting Vite,postcss with tailwind plugin,Two CSS pipelines,Medium,https://tailwindcss.com/docs/guides/vite
12,Testing,Share resolve with Vitest,Point Vitest at the same aliases as Vite.,mergeConfig from vite in vitest,Different paths in tests vs app,vitest.config with resolve alias,Jest-only path hacks,Medium,https://vitest.dev/guide/
13,Performance,Set a modern build target,Prefer es2022 or similar for smaller output.,Match deployment browsers,Ship ES5 polyfills by mistake,build.target es2022,Over-polyfilling evergreen,Low,https://vite.dev/config/build-options.html#build-target
14,Quality,Run production build in CI,Use tsc -b and vite build like package scripts.,Same build locally and in pipeline,Skip build before release,npm run build,Only dev smoke tests,High,
